Number of Records,Recipient RECORD NUMBER,Vendor USED RECORD NUMBER,X,Y
1,441,2,-79.537372,36.084603
1,442,6,-79.537372,36.084603
1,443,8,-79.517408,36.134464
1,444,6,-79.347847,36.088515
1,445,10,-79.354631,36.093278
1,446,8,-79.458793,36.075001
1,447,1,-79.26646,36.085672
1,448,10,-79.354631,36.093278
1,449,5,-79.304867,36.030713
1,450,2,-79.445573,36.095984
1,451,1,-79.50878,36.072403
1,452,4,-79.327582,36.005927
1,453,3,-79.439226,36.075376
1,454,2,-79.47714,36.063733
1,455,3,-79.261366,36.096381
1,456,8,-79.530832,36.094956
1,457,8,-79.464175,36.135612
1,458,7,-79.476575,35.945202
1,459,10,-79.446663,36.141288
1,460,8,-79.295071,36.066357
1,461,1,-79.518521,36.110663
1,462,4,-79.473971,36.091937
1,463,4,-79.327582,36.005927
1,464,4,-79.47714,36.063733
1,465,7,-79.363384,36.04812
1,466,1,-79.387203,36.049572
1,467,10,-79.477731,35.945152
1,468,7,-79.451377,36.089639
1,469,10,-79.488011,35.915412
1,470,6,-79.523976,36.092812
1,471,9,-79.508633,36.074845
1,472,1,-79.491744,36.085978
1,473,8,-79.491744,36.085978
1,474,3,-79.491744,36.085978
1,475,7,-79.476575,35.945202
1,476,10,-79.458521,36.140634
1,477,7,-79.531458,36.055583
1,478,5,-79.520191,35.851288
1,479,2,-79.275626,36.068346
1,480,5,-79.446663,36.141288
1,481,1,-79.473971,36.091937
1,482,8,-79.523976,36.092812
1,483,2,-79.285105,36.189434
1,484,3,-79.508889,35.953967
1,485,1,-79.477932,35.945166
1,486,7,-79.261366,36.096381
1,487,5,-79.508889,35.953967
1,488,2,-79.458521,36.140634
1,489,5,-79.530832,36.094956
1,490,8,-79.427569,36.177732
1,491,6,-79.352207,36.040669
1,492,4,-79.477932,35.945166
1,493,7,-79.40633,36.031647
1,494,7,-79.339,36.03047
1,495,2,-79.315433,36.07488
1,496,7,-79.314947,36.015153
1,497,9,-79.314947,36.015153
1,498,2,-79.494546,36.062079
1,499,2,-79.494546,36.062079
1,500,7,-79.440686,36.088691
1,501,8,-79.411988,36.038819
1,502,4,-79.395798,36.097591
1,503,8,-79.443389,36.092063
1,504,4,-79.393826,36.020432
1,505,9,-79.285431,36.059132
1,506,1,-79.285431,36.059132
1,507,3,-79.420988,36.21906
1,508,6,-79.494929,35.844704
1,509,9,-79.494929,35.844704
1,510,10,-79.294755,36.010223
1,511,4,-79.458015,36.072941
1,512,3,-79.47657,36.038234
1,513,3,-79.480538,36.060381
1,514,10,-79.427656,36.110883
1,515,9,-79.535323,36.058128
1,516,3,-79.287042,36.137946
1,517,2,-79.3867,36.075804
1,518,5,-79.3867,36.075804
1,519,6,-79.290225,36.026034
1,520,8,-79.399417,36.098924
1,521,9,-79.380677,35.95
1,522,7,-79.535323,36.058128
1,523,5,-79.308752,36.078169
1,524,9,-79.303554,36.237518
1,525,2,-79.267836,36.210635
1,526,2,-79.331865,36.169596
1,527,8,-79.314504,35.959452
1,528,8,-79.267947,36.090589
1,529,8,-79.258262,36.241117
1,530,8,-79.403118,36.106721
1,531,4,-79.326723,36.003332
1,532,6,-79.377541,35.925908
1,533,5,-79.283348,36.095841
1,534,7,-79.418085,36.110262
1,535,10,-79.258262,36.241117
1,536,8,-79.532508,36.097791
1,537,9,-79.332385,35.995083
1,538,1,-79.34467,36.121752
1,539,4,-79.401491,36.08969
1,540,8,-79.399261,36.048285
1,541,3,-79.424153,36.124971
1,542,9,-79.269056,36.102897
1,543,3,-79.477605,35.942049
1,544,6,-79.425753,36.082339
1,545,1,-79.3908,36.078719
1,546,2,-79.470097,36.074476
1,547,3,-79.330493,35.990516
1,548,4,-79.397812,36.096762
1,549,8,-79.447738,36.109772
1,550,8,-79.26206,36.088471
1,551,10,-79.26206,36.088471
1,552,10,-79.326723,36.003332
1,553,5,-79.285406,36.096738
1,554,5,-79.285406,36.096738
1,555,6,-79.454138,36.069546
1,556,10,-79.332385,35.995083
1,557,1,-79.439531,36.101908
1,558,6,-79.411908,36.094563
1,559,9,-79.493,36.062275
1,560,10,-79.473872,36.211587
1,561,10,-79.303554,36.237518
1,562,10,-79.3066,36.050392
1,563,3,-79.333754,36.03065
1,564,9,-79.436547,36.05129
1,565,1,-79.331865,36.169596
1,566,9,-79.303645,35.90718
1,567,3,-79.267836,36.210635
1,568,9,-79.314504,35.959452
1,569,2,-79.377541,35.925908
1,570,3,-79.347937,36.122894
1,571,7,-79.285406,36.096738
1,572,5,-79.314504,35.959452
1,573,4,-79.437332,36.082284
1,574,6,-79.346306,35.938288
1,575,2,-79.470097,36.074476
1,576,10,-79.43246,36.118399
1,577,9,-79.318776,35.966804
1,578,8,-79.27703,36.071176
1,579,2,-79.440974,36.035733
1,580,2,-79.314504,35.959452
1,581,10,-79.455204,36.070985
1,582,2,-79.424212,36.118184
1,583,8,-79.287042,36.137946
1,584,9,-79.303554,36.237518
1,585,5,-79.262708,36.072012
1,586,8,-79.492292,36.058227
1,587,4,-79.477707,36.083893
1,588,7,-79.449201,36.079186
1,589,1,-79.294001,35.97675
1,590,2,-79.379847,36.06614
1,591,6,-79.499238,36.08309
1,592,5,-79.499238,36.08309
1,593,6,-79.399516,35.994111
1,594,3,-79.399516,35.994111
1,595,7,-79.284569,36.102517
1,596,2,-79.284569,36.102517
1,597,8,-79.472754,36.103721
1,598,4,-79.472754,36.103721
1,599,4,-79.528189,36.101285
1,600,5,-79.528189,36.101285
1,601,1,-79.423128,36.026898
1,602,9,-79.47493,35.930444
1,603,1,-79.423128,36.026898
1,604,6,-79.456731,36.084064
1,605,3,-79.423128,36.026898
1,606,5,-79.433367,36.085162
1,607,10,-79.47493,35.930444
1,608,10,-79.47493,35.930444
1,609,4,-79.338388,36.02875
1,610,9,-79.458874,36.078319
1,611,8,-79.440033,36.088748
1,612,1,-79.411155,36.107633
1,613,3,-79.49872,36.127855
1,614,3,-79.373383,36.064516
1,615,9,-79.373383,36.064516
1,616,10,-79.319302,35.970215
1,617,3,-79.353988,36.103445
1,618,4,-79.423615,36.123421
1,619,1,-79.423615,36.123421
1,620,10,-79.423615,36.123421
1,621,7,-79.415259,36.040358
1,622,8,-79.49873,36.074476
1,623,3,-79.359758,35.934434
1,624,7,-79.374799,36.103799
1,625,1,-79.380161,36.039485
1,626,1,-79.353758,36.102031
1,627,9,-79.374799,36.103799
1,628,9,-79.380161,36.039485
1,629,7,-79.425907,36.069201
1,630,2,-79.309672,36.079007
1,631,9,-79.490249,36.066706
1,632,1,-79.309672,36.079007
1,633,9,-79.490249,36.066706
1,634,2,-79.490249,36.066706
1,635,9,-79.490249,36.066706
1,636,8,-79.485888,36.141029
1,637,2,-79.485888,36.141029
1,638,9,-79.526544,36.067123
1,639,7,-79.48173,36.092963
1,640,2,-79.428643,36.140874
1,641,10,-79.45174,36.091078
1,642,4,-79.500213,36.093601
1,643,9,-79.500213,36.093601
1,644,2,-79.500213,36.093601
1,645,1,-79.500213,36.093601
1,646,1,-79.268655,36.077433
1,647,6,-79.428951,36.140021
1,648,5,-79.525225,35.929333
1,649,5,-79.525225,35.929333
1,650,5,-79.316267,36.07251
1,651,9,-79.266676,36.082217
1,652,5,-79.380491,36.043643
1,653,2,-79.266676,36.082217
1,654,4,-79.452954,36.090519
1,655,4,-79.452954,36.090519
1,656,9,-79.27514,36.038022
1,657,4,-79.27514,36.038022
1,658,10,-79.278796,36.07629
1,659,6,-79.278796,36.07629
1,660,9,-79.45276,36.091929
1,661,5,-79.45276,36.091929
1,662,6,-79.45276,36.091929
1,663,4,-79.320652,35.970732
1,664,10,-79.320652,35.970732
1,665,8,-79.467655,36.084522
1,666,8,-79.44732,36.117751
1,667,1,-79.452718,36.099241
1,668,6,-79.426763,36.054282
1,669,3,-79.496598,36.092221
1,670,7,-79.327343,36.190087
1,671,5,-79.370704,36.089284
1,672,8,-79.523913,36.097143
1,673,8,-79.512602,36.104471
1,674,7,-79.381847,36.055038
1,675,9,-79.415195,36.113264
1,676,7,-79.465771,36.073799
1,677,1,-79.280828,36.060436
1,678,8,-79.504615,36.084656
1,679,8,-79.32849,36.183761
1,680,2,-79.265556,35.973147
1,681,1,-79.452718,36.099241
1,682,1,-79.258545,36.237883
1,683,1,-79.530859,36.086744
1,684,3,-79.280828,36.060436
1,685,9,-79.439471,36.08296
1,686,9,-79.426763,36.054282
1,687,6,-79.30829,36.080038
1,688,7,-79.540217,36.01235
1,689,2,-79.273663,36.113719
1,690,4,-79.427157,36.094598
1,691,1,-79.475438,36.021937
1,692,10,-79.330894,36.13755
1,693,2,-79.265556,35.973147
1,694,4,-79.530859,36.086744
1,695,10,-79.345495,36.129847
1,696,9,-79.329407,36.037732
1,697,5,-79.403514,36.042623
1,698,3,-79.389979,36.024184
1,699,1,-79.413803,36.044327
1,700,3,-79.509381,36.091488
1,701,3,-79.456468,36.122533
1,702,9,-79.320367,35.998937
1,703,8,-79.456468,36.122533
1,704,7,-79.282383,36.072031
1,705,5,-79.523913,36.097143
1,706,10,-79.44864,36.073878
1,707,4,-79.467655,36.084522
1,708,6,-79.439471,36.08296
1,709,2,-79.280295,36.083284
1,710,2,-79.512602,36.104471
1,711,9,-79.448251,36.068126
1,712,5,-79.350213,35.90252
1,713,8,-79.32849,36.183761
1,714,6,-79.475438,36.021937
1,715,6,-79.504615,36.084656
1,716,7,-79.504615,36.084656
1,717,10,-79.381337,36.066601
1,718,4,-79.345495,36.129847
1,719,1,-79.449699,36.091438
1,720,3,-79.265136,36.095531
1,721,5,-79.329694,36.134228
1,722,5,-79.485264,36.115552
1,723,10,-79.420747,36.003534
1,724,8,-79.399115,36.102659
1,725,6,-79.491225,36.057184
1,726,3,-79.448001,36.164923
1,727,6,-79.476212,36.055353
1,728,2,-79.489688,36.083018
1,729,8,-79.511985,36.085401
1,730,9,-79.496598,36.092221
1,731,8,-79.470912,35.949723
1,732,3,-79.527749,36.099611
1,733,9,-79.319135,36.082481
1,734,10,-79.540217,36.01235
1,735,1,-79.394469,36.036489
1,736,8,-79.426763,36.054282
1,737,1,-79.509381,36.091488
1,738,6,-79.329407,36.037732
1,739,5,-79.285637,36.096021
1,740,5,-79.467655,36.084522
1,741,7,-79.470912,35.949723
1,742,5,-79.423089,36.064585
1,743,8,-79.323777,35.943457
1,744,1,-79.511985,36.085401
1,745,8,-79.476212,36.055353
1,746,6,-79.345495,36.129847
1,747,6,-79.461682,36.075665
1,748,9,-79.435602,36.105301
1,749,9,-79.448048,36.172192
1,750,2,-79.507413,36.223027
1,751,2,-79.538367,36.086893
1,752,7,-79.37048,35.869083
1,753,5,-79.413204,36.079372
1,754,3,-79.29417,36.013
1,755,4,-79.494036,36.062958
1,756,7,-79.474391,36.106475
1,757,6,-79.474391,36.106475
1,758,5,-79.3558,36.093475
1,759,5,-79.457762,36.076141
1,760,9,-79.301192,36.05599
1,761,2,-79.314771,36.07473
1,762,1,-79.51435,36.179238
1,763,3,-79.280701,36.089545
1,764,8,-79.322343,35.953419
1,765,6,-79.29417,36.013
1,766,1,-79.508564,36.062242
1,767,2,-79.357239,36.034921
1,768,4,-79.486084,36.128721
1,769,5,-79.371495,36.08971
1,770,1,-79.280701,36.089545
1,771,9,-79.474391,36.106475
1,772,4,-79.51724,36.094668
1,773,8,-79.490884,36.020711
1,774,8,-79.405722,36.063595
1,775,8,-79.500849,36.069924
1,776,9,-79.316289,36.073361
1,777,2,-79.278117,36.082896
1,778,8,-79.458141,36.09461
1,779,4,-79.537609,36.085843
1,780,8,-79.261211,36.068925
1,781,8,-79.260306,36.095571
1,782,4,-79.406061,36.034252
1,783,7,-79.261211,36.068925
1,784,10,-79.344933,36.234695
1,785,10,-79.3637,36.094058
1,786,4,-79.338064,36.184193
1,787,7,-79.322551,35.953842
1,788,2,-79.338064,36.184193
1,789,8,-79.344933,36.234695
1,790,5,-79.459623,36.091976
1,791,2,-79.43496,36.003628
1,792,6,-79.493135,36.05327
1,793,8,-79.494036,36.062958
1,794,2,-79.275228,36.239141
1,795,10,-79.3637,36.094058
1,796,8,-79.338064,36.184193
1,797,6,-79.322551,35.953842
1,798,8,-79.341683,36.134869
1,799,10,-79.43496,36.003628
1,800,2,-79.458141,36.09461
1,801,3,-79.500849,36.069924
1,802,3,-79.406433,36.065906
1,803,2,-79.449586,36.097479
1,804,8,-79.331446,36.073148
1,805,1,-79.322343,35.953419
1,806,6,-79.490884,36.020711
1,807,8,-79.338064,36.184193
1,808,3,-79.50245,36.228562
1,809,3,-79.50245,36.228562
1,810,5,-79.478808,36.084123
1,811,1,-79.478808,36.084123
1,812,6,-79.386599,36.072045
1,813,6,-79.272114,36.107188
1,814,3,-79.39483,36.048315
1,815,1,-79.382119,36.073152
1,816,6,-79.45126,36.09018
1,817,6,-79.288809,36.078796
1,818,2,-79.391588,36.007676
1,819,7,-79.420788,36.026139
1,820,2,-79.420788,36.026139
1,821,7,-79.420788,36.026139
1,822,1,-79.474575,36.08631
1,823,10,-79.497132,36.126625
1,824,2,-79.497132,36.126625
1,825,3,-79.307199,36.227611
1,826,8,-79.307199,36.227611
1,827,10,-79.53023,36.057399
1,828,2,-79.335753,36.030768
1,829,3,-79.538367,36.086893
1,830,9,-79.454849,36.096322
1,831,1,-79.454849,36.096322
